t_sec,algo,status,center_deviation_px,angle_deg,time_ms,gt_yaw_deg,gt_x_m,gt_y_m,angle_error_deg,xb_left,xb_right,fpc_left,fpc_right
0.000000,CNN,3,-30.153917,88.827092,8.1397,-177.902168,3.724655,3.275536,nan,nan,nan,nan,nan
0.050669,CNN,3,-30.156280,88.829041,8.2345,-177.902396,3.724676,3.275537,nan,nan,nan,nan,nan
0.122901,CNN,3,-30.135995,88.822865,6.7161,-177.902625,3.724697,3.275538,nan,nan,nan,nan,nan
0.189532,CNN,3,-30.158125,88.830428,7.7341,-177.902853,3.724718,3.275538,nan,nan,nan,nan,nan
0.255538,CNN,3,-30.146998,88.828287,4.5660,-177.903081,3.724739,3.275539,nan,nan,nan,nan,nan
0.315973,CNN,3,-30.141320,88.825415,4.7727,-177.903309,3.724760,3.275540,nan,nan,nan,nan,nan
0.391392,CNN,3,-30.139832,88.826712,4.4294,-177.903537,3.724781,3.275541,nan,nan,nan,nan,nan
0.453015,CNN,3,-30.161462,88.832110,4.3310,-177.903765,3.724802,3.275541,nan,nan,nan,nan,nan
0.517254,CNN,3,-30.126677,88.822020,4.8800,-177.903880,3.724813,3.275542,nan,nan,nan,nan,nan
0.587642,CNN,3,-30.136268,88.826086,5.0484,-177.904222,3.724844,3.275543,nan,nan,nan,nan,nan
0.651021,CNN,3,-30.135355,88.824710,4.2754,-177.904336,3.724855,3.275543,nan,nan,nan,nan,nan
0.722780,CNN,3,-30.133557,88.826954,5.0029,-177.904564,3.724876,3.275544,nan,nan,nan,nan,nan
0.782032,CNN,3,-30.137220,88.826894,4.3358,-177.904792,3.724897,3.275545,nan,nan,nan,nan,nan
0.848271,CNN,3,-30.141885,88.828429,4.2392,-177.905021,3.724918,3.275545,nan,nan,nan,nan,nan
0.928250,CNN,3,-30.126697,88.822468,4.4042,-177.905363,3.724950,3.275547,nan,nan,nan,nan,nan
0.983900,CNN,3,-30.136755,88.826512,4.3324,-177.905477,3.724960,3.275547,nan,nan,nan,nan,nan
1.057010,CNN,3,-30.117278,88.823001,4.5759,-177.905705,3.724981,3.275548,nan,nan,nan,nan,nan
1.127729,CNN,3,-30.142986,88.828122,4.3974,-177.905933,3.725002,3.275548,nan,nan,nan,nan,nan
1.187054,CNN,3,-30.126136,88.820811,4.3912,-177.906162,3.725023,3.275549,nan,nan,nan,nan,nan
1.256188,CNN,3,-30.128902,88.828518,4.9709,-177.906390,3.725044,3.275550,nan,nan,nan,nan,nan
1.321226,CNN,3,-30.119488,88.826050,5.0821,-177.906618,3.725065,3.275551,nan,nan,nan,nan,nan
1.389949,CNN,3,-30.122984,88.828950,4.4052,-177.906846,3.725086,3.275551,nan,nan,nan,nan,nan
1.456408,CNN,3,-30.118559,88.824902,4.8294,-177.907074,3.725108,3.275552,nan,nan,nan,nan,nan
1.521270,CNN,3,-30.116842,88.827556,4.5345,-177.907303,3.725129,3.275553,nan,nan,nan,nan,nan
1.584808,CNN,3,-30.112821,88.825567,4.5522,-177.907531,3.725150,3.275554,nan,nan,nan,nan,nan
1.652776,CNN,3,-30.107021,88.824874,4.3456,-177.907759,3.725171,3.275554,nan,nan,nan,nan,nan
1.720020,CNN,3,-30.099538,88.821259,4.3447,-177.907987,3.725192,3.275555,nan,nan,nan,nan,nan
1.786626,CNN,3,-30.111730,88.829272,4.7613,-177.908216,3.725213,3.275556,nan,nan,nan,nan,nan
1.855276,CNN,3,-30.098277,88.822244,5.0326,-177.908444,3.725234,3.275557,nan,nan,nan,nan,nan
1.920857,CNN,3,-30.097290,88.823424,4.2284,-177.908672,3.725255,3.275557,nan,nan,nan,nan,nan
1.989010,CNN,3,-30.117029,88.829790,4.6557,-177.908900,3.725276,3.275558,nan,nan,nan,nan,nan
2.061249,CNN,3,-30.111756,88.825903,4.9497,-177.909129,3.725297,3.275559,nan,nan,nan,nan,nan
2.121229,CNN,3,-30.109544,88.826771,4.2563,-177.909357,3.725318,3.275560,nan,nan,nan,nan,nan
2.185047,CNN,3,-30.113081,88.827212,4.3402,-177.909471,3.725329,3.275560,nan,nan,nan,nan,nan
2.261225,CNN,3,-30.111415,88.829935,4.3216,-177.909814,3.725360,3.275561,nan,nan,nan,nan,nan
2.336182,CNN,3,-30.116690,88.832760,4.6927,-177.910042,3.725381,3.275562,nan,nan,nan,nan,nan
2.387656,CNN,3,-30.118407,88.833160,4.3911,-177.910156,3.725392,3.275562,nan,nan,nan,nan,nan
2.458534,CNN,3,-30.107700,88.827797,4.3268,-177.910384,3.725413,3.275563,nan,nan,nan,nan,nan
2.523202,CNN,3,-30.116566,88.830864,4.8367,-177.910613,3.725434,3.275564,nan,nan,nan,nan,nan
2.588151,CNN,3,-30.115076,88.830671,81.8708,-177.910841,3.725455,3.275564,nan,nan,nan,nan,nan
2.658927,CNN,3,-30.114925,88.831002,4.8347,-177.911069,3.725476,3.275565,nan,nan,nan,nan,nan
2.719283,CNN,3,-30.112407,88.830883,4.1673,-177.911297,3.725497,3.275566,nan,nan,nan,nan,nan
2.795634,CNN,3,-30.116384,88.832241,4.7982,-177.911526,3.725518,3.275567,nan,nan,nan,nan,nan
2.854813,CNN,3,-30.121067,88.833999,4.8546,-177.911754,3.725539,3.275567,nan,nan,nan,nan,nan
2.933591,CNN,3,-30.112033,88.830687,4.2845,-177.911982,3.725561,3.275568,nan,nan,nan,nan,nan
2.985969,CNN,3,-30.109684,88.830367,4.4658,-177.912211,3.725582,3.275569,nan,nan,nan,nan,nan
3.056235,CNN,3,-30.116097,88.833834,4.3435,-177.912439,3.725603,3.275570,nan,nan,nan,nan,nan
3.122632,CNN,3,-30.102147,88.827825,4.5694,-177.912667,3.725624,3.275570,nan,nan,nan,nan,nan
3.187675,CNN,3,-30.108121,88.828685,4.7222,-177.912896,3.725645,3.275571,nan,nan,nan,nan,nan
3.254946,CNN,3,-30.109201,88.831182,4.3771,-177.913124,3.725666,3.275572,nan,nan,nan,nan,nan
3.331442,CNN,3,-30.093017,88.827308,4.6995,-177.913352,3.725687,3.275573,nan,nan,nan,nan,nan
3.392742,CNN,3,-30.102210,88.830972,4.2523,-177.913581,3.725708,3.275573,nan,nan,nan,nan,nan
3.453000,CNN,3,-30.112574,88.834367,4.1770,-177.913809,3.725729,3.275574,nan,nan,nan,nan,nan
3.529814,CNN,3,-30.115375,88.834359,4.1747,-177.914053,3.725750,3.275575,nan,nan,nan,nan,nan
3.591181,CNN,3,-30.100463,88.830518,4.2506,-177.914276,3.725771,3.275576,nan,nan,nan,nan,nan
3.656638,CNN,3,-30.106581,88.833026,4.1612,-177.914479,3.725792,3.275576,nan,nan,nan,nan,nan
3.729424,CNN,3,-30.097053,88.830348,4.1989,-177.914685,3.725814,3.275577,nan,nan,nan,nan,nan
3.788357,CNN,3,-30.094903,88.831050,4.1675,-177.914866,3.725835,3.275578,nan,nan,nan,nan,nan
3.855145,CNN,3,-30.077261,88.826036,4.1752,-177.914948,3.725845,3.275578,nan,nan,nan,nan,nan
3.926289,CNN,3,-30.092309,88.830593,4.1904,-177.915188,3.725877,3.275579,nan,nan,nan,nan,nan
3.988979,CNN,3,-30.095356,88.832207,4.1711,-177.915262,3.725887,3.275579,nan,nan,nan,nan,nan
4.054873,CNN,3,-30.090788,88.831780,4.1995,-177.915395,3.725908,3.275580,nan,nan,nan,nan,nan
4.122170,CNN,3,-30.085528,88.830063,4.2041,-177.915551,3.725934,3.275581,nan,nan,nan,nan,nan
4.186861,CNN,3,-30.080830,88.828623,4.2112,-177.916485,3.726111,3.275587,nan,nan,nan,nan,nan
4.257482,CNN,3,-30.070681,88.828172,4.2107,-177.918264,3.726464,3.275600,nan,nan,nan,nan,nan
4.325869,CNN,3,-30.063008,88.829372,4.2167,-177.920698,3.726964,3.275618,nan,nan,nan,nan,nan
4.392510,CNN,3,-30.042481,88.824676,4.1758,-177.923534,3.727585,3.275641,nan,nan,nan,nan,nan
4.457748,CNN,3,-30.040915,88.834654,4.1716,-177.926684,3.728305,3.275667,nan,nan,nan,nan,nan
4.524168,CNN,3,-30.025528,88.833485,4.2672,-177.929995,3.729085,3.275695,nan,nan,nan,nan,nan
4.591595,CNN,3,-30.004889,88.834947,4.1584,-177.932034,3.729608,3.275714,nan,nan,nan,nan,nan
4.655797,CNN,3,-30.010456,88.837346,4.1738,-177.932881,3.729838,3.275722,nan,nan,nan,nan,nan
4.735064,CNN,3,-30.015487,88.841874,4.1904,-177.932762,3.729798,3.275721,nan,nan,nan,nan,nan
4.790870,CNN,3,-30.014355,88.837699,4.1686,-177.930895,3.729227,3.275700,nan,nan,nan,nan,nan
4.856073,CNN,3,-30.020444,88.835311,4.1802,-177.927473,3.728144,3.275661,nan,nan,nan,nan,nan
4.925437,CNN,3,-30.056418,88.835394,4.2335,-177.922842,3.726638,3.275606,nan,nan,nan,nan,nan
5.002450,CNN,3,-30.074501,88.832711,4.1638,-177.917341,3.724784,3.275539,nan,nan,nan,nan,nan
5.055929,CNN,3,-30.129066,88.834521,4.2080,-177.911116,3.722643,3.275461,nan,nan,nan,nan,nan
5.126050,CNN,3,-30.196936,88.830579,4.2013,-177.904304,3.720274,3.275374,nan,nan,nan,nan,nan
5.190559,CNN,3,-30.227985,88.826584,4.3675,-177.897145,3.717770,3.275283,nan,nan,nan,nan,nan
5.257580,CNN,3,-30.255926,88.822170,4.3559,-177.889706,3.715160,3.275187,nan,nan,nan,nan,nan
5.322374,CNN,3,-30.340341,88.820210,4.2869,-177.881789,3.712377,3.275084,nan,nan,nan,nan,nan
5.393516,CNN,3,-30.409686,88.812696,4.2895,-177.872434,3.709090,3.274962,nan,nan,nan,nan,nan
5.461139,CNN,3,-30.499693,88.797827,4.3561,-177.861812,3.705357,3.274823,nan,nan,nan,nan,nan
5.534439,CNN,3,-30.618267,88.807502,4.3187,-177.850318,3.701269,3.274670,nan,nan,nan,nan,nan
5.594824,CNN,3,-30.749785,88.818412,4.6320,-177.838472,3.696940,3.274508,nan,nan,nan,nan,nan
5.657435,CNN,3,-30.885837,88.826608,4.2746,-177.832411,3.694700,3.274423,nan,nan,nan,nan,nan
5.728917,CNN,3,-30.959979,88.810927,4.3087,-177.813925,3.687746,3.274159,nan,nan,nan,nan,nan
5.788880,CNN,3,-31.080986,88.802313,4.2466,-177.807851,3.685384,3.274069,nan,nan,nan,nan,nan
5.865061,CNN,3,-31.123970,88.771764,4.2662,-177.789744,3.678210,3.273793,nan,nan,nan,nan,nan
5.926980,CNN,3,-31.168552,88.737132,4.3351,-177.783748,3.675794,3.273700,nan,nan,nan,nan,nan
5.990974,CNN,3,-31.246759,88.726508,4.2188,-177.772075,3.670932,3.273511,nan,nan,nan,nan,nan
6.059676,CNN,3,-31.331213,88.718078,4.6153,-177.760603,3.666035,3.273320,nan,nan,nan,nan,nan
6.125530,CNN,3,-31.407131,88.710732,4.4063,-177.749282,3.661110,3.273127,nan,nan,nan,nan,nan
6.199258,CNN,3,-31.560523,88.739067,4.2072,-177.738752,3.656161,3.272933,nan,nan,nan,nan,nan
6.258922,CNN,3,-31.608094,88.703423,4.8380,-177.728720,3.651192,3.272736,nan,nan,nan,nan,nan
6.326642,CNN,3,-31.703636,88.688217,4.3598,-177.718946,3.646207,3.272538,nan,nan,nan,nan,nan
6.388414,CNN,3,-31.831081,88.688425,4.1986,-177.709299,3.641209,3.272339,nan,nan,nan,nan,nan
6.457503,CNN,3,-31.860717,88.652335,5.1367,-177.699715,3.636200,3.272138,nan,nan,nan,nan,nan
6.530115,CNN,3,-31.954674,88.645697,4.2363,-177.690333,3.631182,3.271936,nan,nan,nan,nan,nan
6.596273,CNN,3,-32.147740,88.669763,4.2065,-177.681754,3.626157,3.271733,nan,nan,nan,nan,nan
6.660101,CNN,3,-32.331910,88.699609,4.5139,-177.673630,3.621125,3.271529,nan,nan,nan,nan,nan
6.725903,CNN,3,-34.079783,89.160762,4.2098,-177.665957,3.616088,3.271325,nan,nan,nan,nan,nan
6.795596,CNN,3,-32.529105,88.678846,4.2257,-177.659200,3.611047,3.271119,nan,nan,nan,nan,nan
6.856479,CNN,3,-32.631774,88.663061,4.4398,-177.652943,3.606003,3.270912,nan,nan,nan,nan,nan
6.936364,CNN,3,-32.625169,88.618469,4.2534,-177.647401,3.600944,3.270705,nan,nan,nan,nan,nan
6.990392,CNN,3,-32.665185,88.598487,4.6718,-177.643531,3.595822,3.270494,nan,nan,nan,nan,nan
7.056845,CNN,3,-32.751077,88.595859,4.4118,-177.640582,3.590642,3.270281,nan,nan,nan,nan,nan
7.123371,CNN,3,-32.795662,88.585023,4.2262,-177.639316,3.588034,3.270173,nan,nan,nan,nan,nan
7.197043,CNN,3,-32.943432,88.604986,4.8353,-177.637383,3.580059,3.269844,nan,nan,nan,nan,nan
7.262910,CNN,3,-33.078270,88.623764,4.4386,-177.636860,3.574628,3.269620,nan,nan,nan,nan,nan
7.327232,CNN,3,-33.188735,88.638384,4.2361,-177.636710,3.571885,3.269507,nan,nan,nan,nan,nan
7.397626,CNN,3,-33.283438,88.651894,6.0052,-177.638635,3.563565,3.269163,nan,nan,nan,nan,nan
7.466224,CNN,3,-33.373264,88.651514,4.2272,-177.640950,3.557956,3.268932,nan,nan,nan,nan,nan
7.530208,CNN,3,-33.453295,88.650780,4.6719,-177.642379,3.555137,3.268816,nan,nan,nan,nan,nan
7.591012,CNN,3,-33.484204,88.642406,4.3911,-177.648952,3.549473,3.268583,nan,nan,nan,nan,nan
7.659006,CNN,3,-33.572340,88.658301,4.1935,-177.658564,3.543780,3.268349,nan,nan,nan,nan,nan
7.725202,CNN,3,-33.624937,88.653075,4.8078,-177.670094,3.538061,3.268116,nan,nan,nan,nan,nan
7.797334,CNN,3,-33.661067,88.644356,4.3756,-177.685633,3.532320,3.267883,nan,nan,nan,nan,nan
7.863916,CNN,3,-33.734216,88.657774,4.2262,-177.703633,3.526562,3.267650,nan,nan,nan,nan,nan
7.928224,CNN,3,-33.757349,88.652651,4.8532,-177.723249,3.520788,3.267419,nan,nan,nan,nan,nan
7.994349,CNN,3,-33.806268,88.670858,4.3448,-177.745844,3.515002,3.267190,nan,nan,nan,nan,nan
8.060211,CNN,3,-33.835783,88.697711,4.2562,-177.770206,3.509206,3.266963,nan,nan,nan,nan,nan
8.129927,CNN,3,-33.871649,88.725036,6.3871,-177.795870,3.503401,3.266738,nan,nan,nan,nan,nan
8.196842,CNN,3,-33.884787,88.734136,4.1989,-177.823873,3.497589,3.266515,nan,nan,nan,nan,nan
8.262267,CNN,3,-33.896402,88.750415,4.6231,-177.853204,3.491770,3.266295,nan,nan,nan,nan,nan
8.331782,CNN,3,-33.896106,88.763268,4.4023,-177.883461,3.485947,3.266078,nan,nan,nan,nan,nan
8.394734,CNN,3,-33.855666,88.774439,4.2289,-177.915011,3.480120,3.265864,nan,nan,nan,nan,nan
8.464555,CNN,3,-33.891971,88.840220,4.8767,-177.947273,3.474290,3.265653,nan,nan,nan,nan,nan
8.533659,CNN,3,-33.779801,88.793521,4.3438,-177.979914,3.468456,3.265445,nan,nan,nan,nan,nan
8.596070,CNN,3,-33.700998,88.766817,4.2058,-178.012760,3.462620,3.265240,nan,nan,nan,nan,nan
8.666398,CNN,3,-33.739446,88.805455,4.8834,-178.045719,3.456783,3.265039,nan,nan,nan,nan,nan
8.735004,CNN,3,-33.801710,88.844196,4.3127,-178.078741,3.450943,3.264841,nan,nan,nan,nan,nan
8.797801,CNN,3,-33.809249,88.873731,4.2058,-178.111801,3.445103,3.264646,nan,nan,nan,nan,nan
8.862950,CNN,3,-33.681643,88.855185,4.8237,-178.144887,3.439261,3.264455,nan,nan,nan,nan,nan
8.929864,CNN,3,-33.849758,88.915918,4.2104,-178.178259,3.433373,3.264265,nan,nan,nan,nan,nan
8.993631,CNN,3,-33.618929,88.866423,4.7038,-178.195342,3.430357,3.264170,nan,nan,nan,nan,nan
9.062154,CNN,3,-33.620361,88.904101,4.4787,-178.230266,3.424194,3.263977,nan,nan,nan,nan,nan
9.142867,CNN,3,-33.693337,88.977891,4.2487,-178.284224,3.414677,3.263687,nan,nan,nan,nan,nan
