t_sec,algo,status,center_deviation_px,angle_deg,time_ms,gt_yaw_deg,gt_x_m,gt_y_m,angle_error_deg,xb_left,xb_right,fpc_left,fpc_right
23.473403,fcm,3,-2.000000,90.954842,47.064888,-177.902,3.72467,3.27554,0.954842,nan,nan,nan,nan
23.490043,fcm,3,-2.000000,90.954842,15.320434,-177.902,3.72468,3.27554,0.954842,0.0743322,0.102426,0.804036,0.735353
23.546822,fcm,3,-2.000000,90.954842,13.645291,-177.903,3.72469,3.27554,0.954842,0.0737385,0.102398,0.804142,0.735418
23.651976,fcm,3,-2.000000,90.954842,43.891331,-177.903,3.72472,3.27554,0.954842,0.0737385,0.102429,0.804142,0.735373
23.682196,fcm,3,-2.000000,90.954842,15.614428,-177.903,3.72473,3.27554,0.954842,0.0737068,0.102414,0.804212,0.735377
23.747759,fcm,3,-2.000000,90.954842,20.117069,-177.903,3.72475,3.27554,0.954842,0.0737286,0.102394,0.80416,0.735435
23.855199,fcm,3,-2.000000,90.954842,42.508804,-177.904,3.72478,3.27554,0.954842,0.0737068,0.102393,0.804212,0.735433
23.880170,fcm,3,-2.000000,90.954842,15.417057,-177.904,3.72479,3.27554,0.954842,0.0737839,0.102418,0.804024,0.73541
23.948298,fcm,3,-2.000000,90.954842,19.457352,-177.904,3.72481,3.27554,0.954842,0.0737068,0.102426,0.804212,0.735371
24.047979,fcm,3,-2.000000,90.954842,42.133858,-177.904,3.72484,3.27554,0.954842,0.0737839,0.102426,0.804024,0.735371
24.075436,fcm,3,-2.000000,90.954842,14.900866,-177.904,3.72485,3.27554,0.954842,0.0737721,0.102419,0.804057,0.735418
24.157524,fcm,3,-2.000000,90.954842,22.786173,-177.905,3.72488,3.27554,0.954842,0.0737839,0.102408,0.804024,0.735396
24.235671,fcm,3,-2.000000,90.954842,36.879784,-177.905,3.72491,3.27555,0.954842,0.0731604,0.102405,0.804366,0.735394
24.277126,fcm,3,-2.000000,90.954842,17.420321,-177.905,3.72492,3.27555,0.954842,0.0731866,0.102412,0.804329,0.735405
24.379687,fcm,3,-2.000000,90.954842,36.678623,-177.905,3.72495,3.27555,0.954842,0.0732122,0.102464,0.804193,0.735336
24.415162,fcm,3,-2.000000,90.954842,19.030434,-177.905,3.72496,3.27555,0.954842,0.0744753,0.102412,0.803865,0.735405
24.514491,fcm,3,-2.000000,90.954842,40.796467,-177.906,3.72499,3.27555,0.954842,0.0744532,0.102421,0.803916,0.735359
24.550996,fcm,3,-2.000000,90.954842,11.489216,-177.906,3.725,3.27555,0.954842,0.0744753,0.10243,0.803865,0.735324
24.627868,fcm,3,-2.000000,90.954842,28.069696,-177.906,3.72502,3.27555,0.954842,0.0740047,0.102418,0.803601,0.735388
24.715844,fcm,3,-2.000000,90.954842,40.617847,-177.907,3.72505,3.27555,0.954842,0.0741252,0.102407,0.803848,0.735374
24.747942,fcm,3,-2.000000,90.954842,15.617549,-177.907,3.72507,3.27555,0.954842,0.0741252,0.102359,0.803848,0.735431
24.823034,fcm,3,-2.000000,90.954842,21.614168,-177.907,3.72509,3.27555,0.954842,0.0748196,0.102454,0.803445,0.735312
