t_sec,algo,status,center_deviation_px,angle_deg,time_ms,gt_yaw_deg,gt_x_m,gt_y_m,angle_error_deg,xb_left,xb_right,fpc_left,fpc_right
8.244932,hough,3,-7.000000,93.366463,11.536615,-177.902,3.72465,3.27554,3.36646,nan,nan,nan,nan
8.301248,hough,3,-7.000000,93.366463,12.096217,-177.902,3.72468,3.27554,3.36646,nan,nan,nan,nan
8.370217,hough,3,-7.000000,93.366463,12.097133,-177.903,3.7247,3.27554,3.36646,nan,nan,nan,nan
8.437231,hough,3,-7.000000,93.366463,12.175209,-177.903,3.72472,3.27554,3.36646,nan,nan,nan,nan
8.502829,hough,3,-7.000000,93.366463,12.197277,-177.903,3.72474,3.27554,3.36646,nan,nan,nan,nan
8.562437,hough,3,-7.000000,93.366463,12.118116,-177.903,3.72475,3.27554,3.36646,nan,nan,nan,nan
8.639145,hough,3,-7.000000,93.366463,12.612849,-177.904,3.72478,3.27554,3.36646,nan,nan,nan,nan
8.700145,hough,3,-7.000000,93.366463,12.097223,-177.904,3.72479,3.27554,3.36646,nan,nan,nan,nan
8.764191,hough,3,-7.000000,93.366463,12.051254,-177.904,3.72481,3.27554,3.36646,nan,nan,nan,nan
8.835587,hough,3,-7.000000,93.366463,12.187960,-177.904,3.72483,3.27554,3.36646,nan,nan,nan,nan
8.899231,hough,3,-7.000000,93.366463,12.656743,-177.904,3.72485,3.27554,3.36646,nan,nan,nan,nan
8.972608,hough,3,-8.000000,93.846031,14.021231,-177.905,3.72488,3.27554,3.84603,nan,nan,nan,nan
9.023866,hough,3,-8.000000,93.846031,12.478526,-177.905,3.7249,3.27554,3.84603,nan,nan,nan,nan
9.091008,hough,3,-8.000000,93.846031,12.467395,-177.905,3.72492,3.27555,3.84603,nan,nan,nan,nan
9.170033,hough,3,-7.000000,93.366463,12.335311,-177.905,3.72494,3.27555,3.36646,nan,nan,nan,nan
9.231096,hough,3,-7.000000,93.366463,12.073379,-177.905,3.72496,3.27555,3.36646,nan,nan,nan,nan
9.304645,hough,3,-7.000000,93.366463,12.103524,-177.906,3.72498,3.27555,3.36646,nan,nan,nan,nan
9.376903,hough,3,-8.000000,93.846031,12.812197,-177.906,3.725,3.27555,3.84603,nan,nan,nan,nan
9.423292,hough,3,-8.000000,93.846031,6.813998,-177.906,3.72502,3.27555,3.84603,nan,nan,nan,nan
9.504070,hough,3,-7.000000,93.366463,13.180078,-177.906,3.72504,3.27555,3.36646,nan,nan,nan,nan
9.567982,hough,3,-8.000000,93.846031,12.341845,-177.907,3.72507,3.27555,3.84603,nan,nan,nan,nan
9.624939,hough,3,-8.000000,93.846031,6.765742,-177.907,3.72509,3.27555,3.84603,nan,nan,nan,nan
9.703865,hough,3,-7.000000,93.366463,12.153998,-177.907,3.72511,3.27555,3.36646,nan,nan,nan,nan
9.768429,hough,3,-8.000000,93.846031,12.626515,-177.907,3.72513,3.27555,3.84603,nan,nan,nan,nan
9.832819,hough,3,-7.000000,93.366463,12.500803,-177.908,3.72515,3.27555,3.36646,nan,nan,nan,nan
9.899665,hough,3,-8.000000,93.846031,12.279336,-177.908,3.72517,3.27555,3.84603,nan,nan,nan,nan
9.967155,hough,3,-6.000000,92.886421,12.233898,-177.908,3.72519,3.27556,2.88642,nan,nan,nan,nan
10.035754,hough,3,-6.000000,92.886421,12.473727,-177.908,3.72521,3.27556,2.88642,nan,nan,nan,nan
10.099091,hough,3,-7.000000,93.366463,8.573511,-177.908,3.72522,3.27556,3.36646,nan,nan,nan,nan
10.168754,hough,3,-7.000000,93.366463,12.597825,-177.909,3.72524,3.27556,3.36646,nan,nan,nan,nan
10.236230,hough,3,-8.000000,93.846031,11.953102,-177.909,3.72527,3.27556,3.84603,nan,nan,nan,nan
10.307844,hough,3,-7.000000,93.366463,12.103692,-177.909,3.7253,3.27556,3.36646,nan,nan,nan,nan
10.368195,hough,3,-8.000000,93.846031,12.073609,-177.909,3.72531,3.27556,3.84603,nan,nan,nan,nan
10.431889,hough,3,-7.000000,93.366463,12.302593,-177.909,3.72533,3.27556,3.36646,nan,nan,nan,nan
10.507936,hough,3,-8.000000,93.846031,12.193273,-177.91,3.72535,3.27556,3.84603,nan,nan,nan,nan
