t_sec,algo,status,center_deviation_px,angle_deg,time_ms,gt_yaw_deg,gt_x_m,gt_y_m,angle_error_deg,xb_left,xb_right,fpc_left,fpc_right
5.878118,sliding_windows,3,-8.000000,93.846031,14.385624,-177.902,3.72465,3.27554,3.84603,nan,nan,nan,nan
5.917286,sliding_windows,3,-8.000000,93.846031,8.173658,-177.902,3.72467,3.27554,3.84603,nan,nan,nan,nan
5.991415,sliding_windows,3,-8.000000,93.846031,11.190742,-177.903,3.72469,3.27554,3.84603,nan,nan,nan,nan
6.057936,sliding_windows,3,-8.000000,93.846031,11.658036,-177.903,3.72471,3.27554,3.84603,nan,nan,nan,nan
6.124313,sliding_windows,3,-8.000000,93.846031,11.222198,-177.903,3.72473,3.27554,3.84603,nan,nan,nan,nan
6.191356,sliding_windows,3,-8.000000,93.846031,12.228204,-177.903,3.72475,3.27554,3.84603,nan,nan,nan,nan
6.264587,sliding_windows,3,-8.000000,93.846031,11.921484,-177.904,3.72478,3.27554,3.84603,nan,nan,nan,nan
6.325826,sliding_windows,3,-8.000000,93.846031,11.598183,-177.904,3.72479,3.27554,3.84603,nan,nan,nan,nan
6.390415,sliding_windows,3,-8.000000,93.846031,11.485852,-177.904,3.72481,3.27554,3.84603,nan,nan,nan,nan
6.461911,sliding_windows,3,-8.000000,93.846031,11.887754,-177.904,3.72483,3.27554,3.84603,nan,nan,nan,nan
6.525211,sliding_windows,3,-8.000000,93.846031,11.945887,-177.904,3.72485,3.27554,3.84603,nan,nan,nan,nan
6.596720,sliding_windows,3,-8.000000,93.846031,12.190852,-177.905,3.72488,3.27554,3.84603,nan,nan,nan,nan
6.656490,sliding_windows,3,-8.000000,93.846031,11.502126,-177.905,3.7249,3.27554,3.84603,nan,nan,nan,nan
6.721153,sliding_windows,3,-8.000000,93.846031,11.440899,-177.905,3.72492,3.27555,3.84603,nan,nan,nan,nan
6.802001,sliding_windows,3,-8.000000,93.846031,12.726275,-177.905,3.72494,3.27555,3.84603,nan,nan,nan,nan
6.857129,sliding_windows,3,-8.000000,93.846031,11.721317,-177.905,3.72496,3.27555,3.84603,nan,nan,nan,nan
6.931522,sliding_windows,3,-8.000000,93.846031,12.704119,-177.906,3.72498,3.27555,3.84603,nan,nan,nan,nan
7.000268,sliding_windows,3,-8.000000,93.846031,11.264188,-177.906,3.725,3.27555,3.84603,nan,nan,nan,nan
7.059945,sliding_windows,3,-8.000000,93.846031,11.409015,-177.906,3.72502,3.27555,3.84603,nan,nan,nan,nan
7.129023,sliding_windows,3,-8.000000,93.846031,11.420388,-177.906,3.72504,3.27555,3.84603,nan,nan,nan,nan
7.195374,sliding_windows,3,-8.000000,93.846031,12.745141,-177.907,3.72507,3.27555,3.84603,nan,nan,nan,nan
7.251339,sliding_windows,3,-8.000000,93.846031,6.675815,-177.907,3.72509,3.27555,3.84603,nan,nan,nan,nan
7.329186,sliding_windows,3,-8.000000,93.846031,11.313442,-177.907,3.72511,3.27555,3.84603,nan,nan,nan,nan
7.395030,sliding_windows,3,-8.000000,93.846031,12.374773,-177.907,3.72513,3.27555,3.84603,nan,nan,nan,nan
7.457921,sliding_windows,3,-8.000000,93.846031,12.129980,-177.908,3.72515,3.27555,3.84603,nan,nan,nan,nan
7.529287,sliding_windows,3,-8.000000,93.846031,14.385467,-177.908,3.72517,3.27555,3.84603,nan,nan,nan,nan
7.593731,sliding_windows,3,-8.000000,93.846031,12.866516,-177.908,3.72519,3.27556,3.84603,nan,nan,nan,nan
7.660457,sliding_windows,3,-8.000000,93.846031,12.958477,-177.908,3.72521,3.27556,3.84603,nan,nan,nan,nan
7.729159,sliding_windows,3,-8.000000,93.846031,12.488859,-177.908,3.72522,3.27556,3.84603,nan,nan,nan,nan
7.795257,sliding_windows,3,-8.000000,93.846031,11.462974,-177.909,3.72524,3.27556,3.84603,nan,nan,nan,nan
7.863813,sliding_windows,3,-8.000000,93.846031,12.658672,-177.909,3.72527,3.27556,3.84603,nan,nan,nan,nan
7.933065,sliding_windows,3,-8.000000,93.846031,11.448376,-177.909,3.72529,3.27556,3.84603,nan,nan,nan,nan
7.993337,sliding_windows,3,-8.000000,93.846031,11.107351,-177.909,3.72531,3.27556,3.84603,nan,nan,nan,nan
8.057645,sliding_windows,3,-8.000000,93.846031,11.307239,-177.909,3.72533,3.27556,3.84603,nan,nan,nan,nan
8.134655,sliding_windows,3,-8.000000,93.846031,11.569603,-177.91,3.72535,3.27556,3.84603,nan,nan,nan,nan
8.208187,sliding_windows,3,-8.000000,93.846031,11.399627,-177.91,3.72538,3.27556,3.84603,nan,nan,nan,nan
8.258684,sliding_windows,3,-8.000000,93.846031,11.205387,-177.91,3.72539,3.27556,3.84603,nan,nan,nan,nan
